OBJECTID,OFC_SBRB_NAME,ShapeSTArea,ShapeSTLength
236,MITCHELLS PLAIN CBD,710872.983955383,4443.35394688706
237,NEW WOODLANDS,808052.706726074,3653.11464862979
238,HIGHLANDS VILLAGE,116630.598052979,1788.80464086438
239,RONDEVLEI PARK,408540.706741333,2814.77331414026
240,COLORADO PARK,1361494.79351807,5813.73889142914
241,WESTLAKE,2948092.59768677,8153.54087670551
242,VRYGROND,533708.072463989,2951.47143835903
243,ROTTERDAM,1372991.21140289,6714.23767844524
244,GAYLEE,501582.462203979,2942.19477401422
245,AUSTINVILLE,292557.446266174,2191.58274333917
246,FOUNTAIN VILLAGE,883442.476287842,4353.0851983043
247,ROSEDALE - KLEIN VLEI,1437592.10910797,5766.64470098963
248,HILLCREST HEIGHTS,1277817.79087067,4651.58727245137
249,FOREST HEIGHTS,1271880.47111511,4746.7954507175
250,DE WIJNLANDEN ESTATE,544637.432655334,4696.60708204544
251,EERSTERIVIER SOUTH,2149195.91785431,6363.7779296625
252,BARNET MOLOKWANA CORNER,382585.21697998,3455.37013035182
253,DREAMWORLD,2144236.29350281,6683.47911555905
254,KUYASA,1264079.04502106,4783.58592633798
255,HELDERBERG ESTATE,652054.290241241,4057.25140642034
256,BRAEVIEW,32637.2287101746,853.998467566566
257,JONKERS HOOGTE,104013.090156555,1564.52639243816
258,BEL'AIRE,333726.54838562,2332.56251056055
259,MONTE SERENO,133152.285400391,1761.15467240035
260,PEARL RISE,228900.213493347,2313.47952418347
261,NUTWOOD,85004.5017700195,1309.26511418801
262,MONTCHERE,69545.2424545288,1185.80810714872
263,PEARL MARINA,179195.663078308,2006.4970630293
264,WORLD'S VIEW - SOMERSET WEST,243370.382587433,2193.19852186615
265,SOMERSET RIDGE,483833.292881012,2848.93919591392
266,SCHONENBERG,846634.799114227,4365.39731911645
267,SEA BREEZE PARK,47354.1956291199,971.063071325013
268,PROTEA PARK - GORDON'S BAY,89785.6092605591,1309.63479432423
269,MOUNTAINSIDE EXT 2,152118.946987152,1907.83143291179
270,GEORGE PARK,178072.537258148,2175.7320232771
271,ONVERWACHT - THE STRAND,802213.470458984,4478.19295035929
272,HIGH RIDING,991006.756071091,4613.318744372
273,SIR LOWRY'S PASS VILLAGE CENTRE,58802.8903179169,1076.65642046952
274,MORNINGSIDE,106295.389247894,1480.64663829226
275,PAARDE VLEI,187187.028873444,2232.50689622944
276,HUMANSHOF,107991.155460358,1486.97149784717
277,GOEDE HOOP,44668.3099021912,843.137000010288
278,KALAMUNDA,36539.4436607361,849.736872987702
279,BRIDGEBANK,101743.838741302,1321.4033314435
280,CARWICK,44577.0439224243,975.7768451017
281,LONGDOWN ESTATE,67809.9327583313,1163.49887256359
282,BRIDGEWATER,65728.6843223572,1307.91885652906
283,BENE TOWNSHIP,82728.9712867737,1298.23398271533
284,SILVERTAS,41875.3780937195,867.215926704648
285,CHRIS NISSEN PARK,57827.5195121765,977.264519457021
286,MISTY CLIFFS,75024.1444244385,1753.95348275346
287,SMITSWINKELBAAI,348374.469299316,2504.55519178871
288,HUNTERS CREEK,205770.21736908,2604.29222927899
289,BELTHORN ESTATE,983998.461547852,4441.06675050196
290,WELMOED ESTATE,1933557.96720886,6638.80801430259
291,SAXENBURG PARK 2,189554.054649353,2204.21800486459
292,JOOSTENBERGVLAKTE SMALLHOLDINGS,2352159.77481079,6370.29631417702
293,KRAAIFONTEIN INDUSTRIA,626898.077911377,3418.94199380417
294,GORDON HEIGHTS,156129.412662506,1838.47310364807
295,BRACKENFELL INDUSTRIA,857133.390167236,5549.96932073642
296,GOEDEHOOP,326756.452732086,2433.01136906493
297,STRAND GOLF CLUB,739097.264133453,4197.89784669827
298,DE VELDE,203968.767528534,1957.6361081399
299,VICTORIA PARK,265260.757263184,2218.78383771744
300,LOURENSIA PARK,107678.989807129,1419.50964961275
301,HEARTLAND BEACH ROAD PRECINCT,154265.131168365,2198.02356350353
302,HEARTLAND HISTORIC PRECINCT,239596.067955017,2543.07733547368
303,MALL INTERCHANGE,507957.384792328,4247.83270648954
304,JACQUES HILL,109742.799098969,1495.18982948078
305,DORHILL,288904.889064789,2706.70713748244
306,BERBAGO,24524.4969902039,747.248652343294
307,ROUNDHAY,247983.713523865,2491.77301284488
308,SPANISH FARM,373837.40965271,2851.01572910027
309,SILWERBOOMKLOOF,239151.62493515,2602.08657129319
310,PARELVALLEI KLEINHOEWES,430682.422569275,2887.10690246032
311,HELDERRANT,341731.280296326,2650.00230511278
312,LA SANDRA,347293.466957092,3080.43445752247
313,BRIZA,938931.821395874,6651.73760194459
314,DIE WINGERD,811328.965568542,4280.42492790774
315,VREDENZICHT,28690.6731262207,717.665633883709
316,RIVERSIDE,337285.65423584,2626.05364953472
317,CHRIS HANI PARK,44272.5327987671,846.173693208539
318,ROME GLEN,390571.572818756,2526.96864404306
319,DEEPFREEZE,97605.7190093994,1340.08142400984
320,BRANDWACHT,20259.724395752,590.873814401971
321,MACASSAR BEACH,633867.45489502,3775.72507085532
322,SANDVLEI,1560347.8552475,6823.5581684612
323,LAGOON BEACH,123182.071655273,2639.70344136471
324,PHOENIX,269198.770965576,2677.54403586675
325,MILNERTON RIDGE,489746.280410767,4407.46134830142
326,BLOUBERG SANDS,851591.17906189,4311.93033789393
327,BROADLANDS PARK,287027.931217194,2214.04536858969
328,WEST RIDING,403135.720870972,3223.6619186126
