OBJECTID,CMT,ST,PRK_ZONE,AREA_HCTR,SHAPESTArea,SHAPESTLength
1,,,PT2,210.20083081,2102008.30553436,6320.82499897279
2,,,PT2,642.10305565,6421030.54775238,15996.5646637932
3,,,PT2,287.13699781,2871369.96517944,8357.85785290099
4,,,PT2,68.50971409,685097.140914917,4157.85921113059
5,,,PT2,2493.88794548,24938906.9329681,78906.2876954981
6,,,PT2,214.76271357,2147627.1396637,7594.53557416802
7,,,PT2,127.61229282,1276122.91879272,5754.09078629833
8,,,PT2,66.70841147,667084.113830566,3513.64037614115
9,,,PT2,66.95449809,669544.976409912,3627.5901253176
10,,,PT2,38.65128444,386512.849449158,2906.39898300624
11,,,PT2,75.92302501,759230.25743103,4145.75606207533
12,,,PT2,109.40004343,1094000.44093323,4991.80047526072
13,,,PT2,88.60379689,886037.973876953,3853.18951041735
14,,,PT2,53.86514644,538651.464385986,3213.64208033664
15,,,PT2,52.43190386,524319.038604736,3036.08971188421
16,,,PT2,49.66558267,496655.826759338,3057.58836982999
17,,,PT2,51.72227436,517222.743507385,3385.74160827159
18,,,PT2,51.04094719,510409.471870422,2758.82107444081
19,,,PT2,51.68564903,516856.490264893,3121.72582908927
20,,,PT2,50.71537833,507153.783317566,2787.30036503223
21,,,PT2,55.18733412,551873.341156006,3092.4630192221
22,,,PT2,51.30127856,513012.785575867,3454.19052749504
23,,,PT2,50.59304051,505930.40512085,3146.40751267101
24,,,PT2,45.13833418,451383.341842651,2915.88272199162
25,,,PT2,53.4862539,534862.539001465,3379.31480514098
26,,,PT2,53.77550248,537756.797149658,3221.27883220112
27,,,PT2,56.30806427,563080.642669678,3416.71018312628
28,,,PT2,52.82319674,528231.967468262,3135.27179518789
29,,,PT2,52.19999813,521999.981246948,2933.97012410469
30,,,PT2,59.37344662,593734.466209412,3589.07052398942
31,,,PT2,58.15251529,581525.152954102,3265.8344170832
32,,,PT2,53.5559625,535559.625091553,2988.33631871437
33,,,PT2,40.7380778,407558.028686523,3027.76501906444
34,,,PT2,1.53296534,15329.6534576416,581.833262908358
35,,,PT2,19.98073385,199807.338424683,1964.84801736128
36,,,PT2,240.25812387,2402691.30172729,9863.38148739627
37,,,PT2,351.16389927,3511638.99263,10424.763448833
38,,,PT2,554.37090469,5543709.0471344,17132.9309648749
39,,,PT2,29.04757349,290475.734924316,2466.15206338953
40,,,PT2,87.56197699,875619.769989014,5726.15038737241
41,,,PT2,305.09228362,3050922.83609009,7822.16577773332
42,,,PT2,48.13441761,481344.176071167,3606.78596075221
43,,,PT2,56.9157019,569157.019119263,3618.57079537851
44,,,PT2,46.77186092,467718.609329224,3474.18524617828
45,,,PT2,50.19880584,501988.058502197,3242.39712993764
46,,,PT2,43.02456474,430245.647407532,2767.39955619633
47,,,PT2,49.99701041,499970.104141235,3195.25410625449
48,,,PT2,50.20626016,502062.602752686,3368.5475326925
